(-85, 102) 23 1628 214
(-85, 103) 23 1628 214
(-85, 104) 23 1628 214
(-85, 105) 23 1628 214
(-85, 106) 23 1629 214
(-85, 107) 23 1629 214
(-85, 108) 23 1629 214
(-85, 109) 23 1629 214
(-85, 110) 23 1629 214
(-85, 111) 23 1630 215
(-85, 112) 23 1630 215
(-85, 113) 23 1630 215
(-85, 114) 23 1630 215
(-85, 115) 23 1630 215
(-85, 116) 23 1631 215
(-85, 117) 23 1631 215
(-85, 118) 23 1631 215
(-85, 119) 23 1631 215
(-85, 120) 23 1631 215
(-85, 121) 24 1696 223
(-85, 122) 24 1696 223
(-85, 123) 24 1696 223
(-85, 124) 24 1696 223
(-85, 125) 24 1696 223
(-85, 126) 24 1697 223
(-85, 127) 24 1697 223
(-85, 128) 24 1697 223
(-85, 129) 24 1697 223
(-85, 130) 24 1697 223
(-85, 131) 24 1698 224
(-85, 132) 24 1698 224
(-85, 133) 24 1698 224
(-85, 134) 24 1698 224
(-85, 135) 24 1698 224
(-85, 136) 24 1699 224
(-85, 137) 24 1699 224
(-85, 138) 24 1699 224
(-85, 139) 24 1699 224
(-85, 140) 24 1699 224
(-85, 141) 25 1764 232
(-85, 142) 25 1764 232
(-85, 143) 25 1764 232
(-85, 144) 25 1764 232
(-85, 145) 25 1764 232
(-85, 146) 25 1765 232
(-85, 147) 25 1765 232
(-85, 148) 25 1765 232
(-85, 149) 25 1765 232
(-85, 150) 25 1765 232
(-85, 151) 25 1766 233
(-85, 152) 25 1766 233
(-85, 153) 25 1766 233
(-85, 154) 25 1766 233
(-85, 155) 25 1766 233
(-85, 156) 25 1767 233
(-85, 157) 25 1767 233
(-85, 158) 25 1767 233
(-85, 159) 25 1767 233
(-85, 160) 25 1767 233
(-85, 161) 26 1832 241
(-85, 162) 26 1832 241
(-85, 163) 26 1832 241
(-85, 164) 26 1832 241
(-85, 165) 26 1832 241
(-85, 166) 26 1833 241
(-85, 167) 26 1833 241
(-85, 168) 26 1833 241
(-85, 169) 26 1833 241
(-85, 170) 26 1833 241
(-85, 171) 26 1834 242
(-85, 172) 26 1834 242
(-85, 173) 26 1834 242
(-85, 174) 26 1834 242
(-85, 175) 26 1834 242
(-85, 176) 26 1835 242
(-85, 177) 26 1835 242
(-85, 178) 26 1835 242
(-85, 179) 26 1835 242
(-85, 180) 26 1835 242
(-85, 181) 27 1900 250
(-85, 182) 27 1900 250
(-85, 183) 27 1900 250
(-85, 184) 27 1900 250
(-85, 185) 27 1900 250
(-85, 186) 27 1901 250
(-85, 187) 27 1901 250
(-85, 188) 27 1901 250
(-85, 189) 27 1901 250
(-85, 190) 27 1901 250
(-85, 191) 27 1902 251
(-85, 192) 27 1902 251
(-85, 193) 27 1902 251
(-85, 194) 27 1902 251
(-85, 195) 27 1902 251
(-85, 196) 27 1903 251
(-85, 197) 27 1903 251
(-85, 198) 27 1903 251
(-85, 199) 27 1903 251
(-85, 200) 27 1903 251
(-85, 201) 28 1968 259
(-85, 202) 28 1968 259
(-85, 203) 28 1968 259
(-85, 204) 28 1968 259
(-85, 205) 28 1968 259
(-85, 206) 28 1969 259
(-85, 207) 28 1969 259
(-85, 208) 28 1969 259
